Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
462,EPL,EPL Limited,516229
463,MINDACORP,Minda Corporation Limited,514379
464,GRAPHITE,Graphite India Limited,512959
465,HGINFRA,H.G. Infra Engineering Limited,510094
466,OLECTRA,Olectra Greentech Limited,508285
467,RELINFRA,Reliance Infrastructure Limited,507457
468,JUSTDIAL,Just Dial Limited,501835
469,RAIN,Rain Industries Limited,501323
470,IONEXCHANG,ION Exchange (India) Limited,500712
471,EDELWEISS,Edelweiss Financial Services Limited,496071
472,UJJIVANSFB,Ujjivan Small Finance Bank Limited,493535
473,TV18BRDCST,TV18 Broadcast Limited,492879
474,GPIL,Godawari Power And Ispat limited,491757
475,MTARTECH,Mtar Technologies Limited,486478
476,TCI,Transport Corporation of India Limited,486206
477,RTNINDIA,RattanIndia Enterprises Limited,485868
478,VSTIND,VST Industries Limited,485733
479,SAFARI,Safari Industries (India) Limited,485572
480,ACE,Action Construction Equipment Limited,484550
481,MAHSCOOTER,Maharashtra Scooters Limited,483811
482,DELTACORP,Delta Corp Limited,483347
483,GLS,Glenmark Life Sciences Limited,481409
484,GHCL,GHCL Limited,481322
485,INDIGOPNTS,Indigo Paints Limited,479856
486,MAHSEAMLES,Maharashtra Seamless Limited,479114
487,SUPRAJIT,Suprajit Engineering Limited,477178
488,KFINTECH,Kfin Technologies Limited,474263
489,GSFC,Gujarat State Fertilizers & Chemicals Limited,474188
490,J&KBANK,The Jammu & Kashmir Bank Limited,471606
491,RELIGARE,Religare Enterprises Limited,469161
492,MASTEK,Mastek Limited,469144
493,SIS,SIS LIMITED,467281
494,JINDALSAW,Jindal Saw Limited,466521
495,TEGA,Tega Industries Limited,465441
496,SYRMA,Syrma SGS Technology Limited,464130
497,AVANTIFEED,Avanti Feeds Limited,462486
498,STARCEMENT,Star Cement Limited,461302
499,IBULHSGFIN,Indiabulls Housing Finance Limited,459099
500,RKFORGE,Ramkrishna Forgings Limited,457444
501,CAPLIPOINT,Caplin Point Laboratories Limited,452342
502,VAIBHAVGBL,Vaibhav Global Limited,450209
503,RBA,Restaurant Brands Asia Limited,445580
504,JUBLPHARMA,Jubilant Pharmova Limited,444155
505,SHARDACROP,Sharda Cropchem Limited,441810
506,NIITLTD,NIIT Limited,439151
507,PCBL,PCBL LIMITED,438234
508,MASFIN,MAS Financial Services Limited,438116
509,SCI,Shipping Corporation Of India Limited,435988
510,PDSL,PDS Limited,434876
511,GUJALKALI,Gujarat Alkalies and Chemicals Limited,429765
512,ELECON,Elecon Engineering Company Limited,428772
513,CMSINFO,CMS Info Systems Limited,427611
514,VMART,V-Mart Retail Limited,427540
515,ICRA,ICRA Limited,426811
516,JSWHL,JSW Holdings Limited,425926
517,FDC,FDC Limited,425228
518,CSBBANK,CSB Bank Limited,425214
519,KTKBANK,The Karnataka Bank Limited,423778
520,MMTC,MMTC Limited,418500
521,ENGINERSIN,Engineers India Limited,418441
522,SUNTECK,Sunteck Realty Limited,417025
523,PRIVISCL,Privi Speciality Chemicals Limited,410783
524,PARADEEP,Paradeep Phosphates Limited,410507
525,SOBHA,Sobha Limited,408406
526,FUSION,Fusion Micro Finance Limited,403278
527,GMDCLTD,Gujarat Mineral Development Corporation Limited,402588
528,VIJAYA,Vijaya Diagnostic Centre Limited,399405
529,JAMNAAUTO,Jamna Auto Industries Limited,397228
530,ANANTRAJ,Anant Raj Limited,395884
531,SANSERA,Sansera Engineering Limited,395622
532,MFL,Meghmani Finechem Limited,392088
533,AHLUCONT,Ahluwalia Contracts (India) Limited,386284
534,BSHSL,Bombay Super Hybrid Seeds Limited,385854
535,TATACOFFEE,Tata Coffee Limited,384467
536,TEAMLEASE,Teamlease Services Limited,382874
537,JKTYRE,JK Tyre & Industries Limited,381658
538,VARROC,Varroc Engineering Limited,380973
539,GREENLAM,Greenlam Industries Limited,380914
540,JPPOWER,Jaiprakash Power Ventures Limited,380367
541,INFIBEAM,Infibeam Avenues Limited,378906
542,SPANDANA,Spandana Sphoorty Financial Limited,378234
543,HSCL,Himadri Speciality Chemical Limited,377753
544,BHARATRAS,Bharat Rasayan Limited,377172
545,RAJRATAN,Rajratan Global Wire Limited,377152
546,LAOPALA,La Opala RG Limited,376845
547,SARDAEN,Sarda Energy & Minerals Limited,376185
548,RALLIS,Rallis India Limited,375130
549,BOROLTD,Borosil Limited,374276
550,RATEGAIN,Rategain Travel Technologies Limited,372286
551,SCHNEIDER,Schneider Electric Infrastructure Limited,372285
552,RPOWER,Reliance Power Limited,371653
553,ARVINDFASN,Arvind Fashions Limited,371444
554,TATVA,Tatva Chintan Pharma Chem Limited,369946
555,POWERMECH,Power Mech Projects Limited,368172
556,HCG,Healthcare Global Enterprises Limited,365110
557,NESCO,Nesco Limited,364771
558,HEIDELBERG,HeidelbergCement India Limited,364734
559,TECHNOE,Techno Electric & Engineering Company Limited,363322
560,POLYPLEX,Polyplex Corporation Limited,358675
561,SURYAROSNI,Surya Roshni Limited,357957
562,AUTOAXLES,Automotive Axles Limited,357285
563,JWL,Jupiter Wagons Limited,357227
564,NFL,National Fertilizers Limited,355424
565,HEG,HEG Limited,355349
566,RAJRILTD,Raj Rayon Industries Limited,355337
567,CHENNPETRO,Chennai Petroleum Corporation Limited,353665
568,WSTCSTPAPR,West Coast Paper Mills Limited,350456
569,LUXIND,Lux Industries Limited,349177
570,HIKAL,Hikal Limited,347277
571,MIDHANI,Mishra Dhatu Nigam Limited,345923
572,HLEGLAS,HLE Glascoat Limited,344604
573,SHAREINDIA,Share India Securities Limited,344502
574,NOCIL,NOCIL Limited,344367
575,NAZARA,Nazara Technologies Limited,341756
576,BANARISUG,Bannari Amman Sugars Limited,339964
577,ANANDRATHI,Anand Rathi Wealth Limited,336716
578,PRUDENT,Prudent Corporate Advisory Services Limited,334814
579,GRAVITA,Gravita India Limited,334592
580,GREENPANEL,Greenpanel Industries Limited,333608
581,VESUVIUS,Vesuvius India Limited,332348
582,DCBBANK,DCB Bank Limited,331732
583,ROSSARI,Rossari Biotech Limited,328782
584,RESPONIND,Responsive Industries Limited,328703
585,TINPLATE,The Tinplate Company of India Limited,326301
586,KIRLOSBROS,Kirloskar Brothers Limited,325775
587,RAILTEL,Railtel Corporation Of India Limited,324469
588,AMIORG,Ami Organics Limited,324181
589,ISGEC,Isgec Heavy Engineering Limited,320809
590,NEOGEN,Neogen Chemicals Limited,320769
591,MARKSANS,Marksans Pharma Limited,319115
592,NAVA,NAVA LIMITED,316392
593,NEWGEN,Newgen Software Technologies Limited,315290
594,BECTORFOOD,Mrs. Bectors Food Specialities Limited,314056
595,TITAGARH,Titagarh Wagons Limited,313755
596,AARTIDRUGS,Aarti Drugs Limited,312757
597,UJJIVAN,Ujjivan Financial Services Limited,311800
598,GATEWAY,Gateway Distriparks Limited,311778
599,SULA,Sula Vineyards Limited,308715
600,DAAWAT,LT Foods Limited,308650
601,SOUTHBANK,The South Indian Bank Limited,306587
602,GET&D,GE T&D India Limited,305335
603,HARSHA,Harsha Engineers International Limited,305043
604,PGEL,PG Electroplast Limited,303011
605,RSYSTEMS,R Systems International Limited,301201
606,INDOCO,Indoco Remedies Limited,299719
607,MOLDTKPAC,Mold-Tek Packaging Limited,299063
608,IFBIND,IFB Industries Limited,298826
609,SBCL,Shivalik Bimetal Controls Limited,295769
610,BCG,Brightcom Group Limited,294617
611,GREAVESCOT,Greaves Cotton Limited,291993
612,MOIL,MOIL Limited,289356
613,TATASTLLP,Tata Steel Long Products Limited,284243
614,TARSONS,Tarsons Products Limited,283137
615,SHANTIGEAR,Shanthi Gears Limited,281586
616,CHOICEIN,Choice International Limited,280922
617,TIIL,Technocraft Industries (India) Limited,278950
618,DHANUKA,Dhanuka Agritech Limited,278666
619,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,276409
620,DODLA,Dodla Dairy Limited,275898
621,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,273534
622,VOLTAMP,Voltamp Transformers Limited,272398
623,ASTEC,Astec LifeSciences Limited,271538
624,SUDARSCHEM,Sudarshan Chemical Industries Limited,270886
625,KSCL,Kaveri Seed Company Limited,267278
626,SUNFLAG,Sunflag Iron And Steel Company Limited,265734
627,IBREALEST,Indiabulls Real Estate Limited,264879
628,THOMASCOOK,Thomas Cook  (India)  Limited,264119
629,HBLPOWER,HBL Power Systems Limited,264028
630,INOXWIND,Inox Wind Limited,263971
631,NILKAMAL,Nilkamal Limited,262047
632,ZENTEC,Zen Technologies Limited,260912
633,TCNSBRANDS,TCNS Clothing Co. Limited,259795
634,ADVENZYMES,Advanced Enzyme Technologies Limited,259432
635,STAR,Strides Pharma Science Limited,258582
636,FCL,Fineotex Chemical Limited,258155
637,KKCL,Kewal Kiran Clothing Limited,257532
638,HINDWAREAP,Hindware Home Innovation Limited,256905
639,MAHLOG,Mahindra Logistics Limited,255015
640,EMIL,Electronics Mart India Limited,254896
641,JTEKTINDIA,Jtekt India Limited,253648
642,MANINFRA,Man Infraconstruction Limited,253193
643,ITDC,India Tourism Development Corporation Limited,253191
644,APCOTEXIND,Apcotex Industries Limited,252770
645,PRICOLLTD,Pricol Limited,252599
646,PTC,PTC India Limited,251755
647,AARTIPHARM,Aarti Pharmalabs Limited,249992
648,MBAPL,Madhya Bharat Agro Products Limited,249014
649,SAGCEM,Sagar Cements Limited,248018
650,TDPOWERSYS,TD Power Systems Limited,247796
651,JAICORPLTD,Jai Corp Limited,247242
652,DBL,Dilip Buildcon Limited,246957
653,BARBEQUE,Barbeque Nation Hospitality Limited,246792
654,UNIPARTS,Uniparts India Limited,243429
655,UFLEX,UFLEX Limited,242306
656,WONDERLA,Wonderla Holidays Limited,242215
657,PSPPROJECT,PSP Projects Limited,241524
658,KIRLOSIND,Kirloskar Industries Limited,240367
659,IPL,India Pesticides Limited,239367
660,DISHTV,Dish TV India Limited,239363
661,TATAMETALI,Tata Metaliks Limited,236800
662,PAISALO,Paisalo Digital Limited,236635
663,PFOCUS,Prime Focus Limited,236484
664,HEMIPROP,Hemisphere Properties India Limited,234698
665,LGBBROSLTD,LG Balakrishnan & Bros Limited,233026
666,MAITHANALL,Maithan Alloys Limited,232892
667,SSWL,Steel Strips Wheels Limited,231561
668,NEULANDLAB,Neuland Laboratories Limited,231458
669,HATHWAY,Hathway Cable & Datacom Limited,229229
670,THYROCARE,Thyrocare Technologies Limited,227520
671,ORIENTCEM,Orient Cement Limited,225253
672,DREAMFOLKS,Dreamfolks Services Limited,224910
673,ETHOSLTD,Ethos Limited,224129
674,GLOBUSSPR,Globus Spirits Limited,223682
675,GANESHHOUC,Ganesh Housing Corporation Limited,223602
676,ARVIND,Arvind Limited,222273
677,ICIL,Indo Count Industries Limited,221920
678,SHRIPISTON,Shriram Pistons & Rings Limited,221802
679,WOCKPHARMA,Wockhardt Limited,221752
680,DBREALTY,D B Realty Limited,221464
681,ISMTLTD,ISMT Limited,220718
682,JINDALPOLY,Jindal Poly Films Limited,219304
683,WABAG,VA Tech Wabag Limited,218848
684,BAJAJCON,Bajaj Consumer Care Limited,218593
685,GENUSPOWER,Genus Power Infrastructures Limited,218183
686,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,216584
687,NAVNETEDUL,Navneet Education Limited,215694
688,GOKEX,Gokaldas Exports Limited,215658
689,APOLLOPIPE,Apollo Pipes Limited,215479
690,LANDMARK,Landmark Cars Limited,215360
691,IFCI,IFCI Limited,215201
692,ATFL,Agro Tech Foods Limited,213633
693,EVEREADY,Eveready Industries India Limited,212356
694,AGI,AGI Greenpac Limited,209490
695,TI,Tilaknagar Industries Limited,208878
696,ASHOKA,Ashoka Buildcon Limited,207735
697,SOMANYCERA,Somany Ceramics Limited,207635
698,HCC,Hindustan Construction Company Limited,207285
699,JISLJALEQS,Jain Irrigation Systems Limited,207091
700,VINDHYATEL,Vindhya Telelinks Limited,206958
701,FIEMIND,Fiem Industries Limited,206057
702,TASTYBITE,Tasty Bite Eatables Limited,205854
703,JAYNECOIND,Jayaswal Neco Industries Limited,205366
704,HONDAPOWER,Honda India Power Products Limited,204302
705,UNICHEMLAB,Unichem Laboratories Limited,203965
706,MUKANDLTD,Mukand Limited,203811
707,CIGNITITEC,Cigniti Technologies Limited,203337
708,MMFL,MM Forgings Limited,202578
709,VENKEYS,Venky's (India) Limited,202548
710,RAMKY,Ramky Infrastructure Limited,201815
711,DIVGIITTS,Divgi Torqtransfer Systems Limited,201373
712,CAMLINFINE,Camlin Fine Sciences Limited,200216
713,SHILPAMED,Shilpa Medicare Limited,198646
714,GULFOILLUB,Gulf Oil Lubricants India Limited,198250
715,MOL,Meghmani Organics Limited,197602
716,DOLLAR,Dollar Industries Limited,197259
717,VSTTILLERS,V.S.T Tillers Tractors Limited,196493
718,SUBROS,Subros Limited,195740
719,DCAL,Dishman Carbogen Amcis Limited,195587
720,GABRIEL,Gabriel India Limited,195428
721,SIYSIL,Siyaram Silk Mills Limited,195073
722,TVSSRICHAK,TVS Srichakra Limited,194876
723,ASTRAMICRO,Astra Microwave Products Limited,194616
724,JKIL,J.Kumar Infraprojects Limited,192493
725,JAGRAN,Jagran Prakashan Limited,191281
726,ELECTCAST,Electrosteel Castings Limited,190868
727,CARERATING,CARE Ratings Limited,190787
728,INDIAGLYCO,India Glycols Limited,190289
729,BALMLAWRIE,Balmer Lawrie & Company Limited,189643
730,KOLTEPATIL,Kolte - Patil Developers Limited,189441
731,IMAGICAA,Imagicaaworld Entertainment Limited,188483
732,WELENT,Welspun Enterprises Limited,188304
733,TIPSINDLTD,TIPS Industries Limited,187548
734,SWARAJENG,Swaraj Engines Limited,186980
735,MAYURUNIQ,Mayur Uniquoters Ltd,184623
736,GANECOS,Ganesha Ecosphere Limited,184317
737,PARAS,Paras Defence and Space Technologies Limited,183437
738,LUMAXTECH,Lumax Auto Technologies Limited,183276
739,ACCELYA,Accelya Solutions India Limited,182056
740,KESORAMIND,Kesoram Industries Limited,182023
741,CARTRADE,Cartrade Tech Limited,181964
742,MPSLTD,MPS Limited,181647
743,SEQUENT,Sequent Scientific Limited,181089
744,HIL,HIL Limited,180965
745,GUFICBIO,Gufic Biosciences Limited,180705
746,ITDCEM,ITD Cementation India Limited,179260
747,PILANIINVS,Pilani Investment and Industries Corporation Limited,179227
748,MSTCLTD,Mstc Limited,178042
749,LSIL,Lloyds Steels Industries Limited,177404
750,PANAMAPET,Panama Petrochem Limited,176762
751,OPTIEMUS,Optiemus Infracom Limited,176694
752,SIRCA,Sirca Paints India Limited,176635
753,TIRUMALCHM,Thirumalai Chemicals Limited,175903
754,DYNAMATECH,Dynamatic Technologies Limited,175176
755,SUNDARMHLD,Sundaram Finance Holdings Limited,175129
756,TIMETECHNO,Time Technoplast Limited,174133
757,DBCORP,D.B.Corp Limited,173579
758,ASHIANA,Ashiana Housing Limited,173077
759,CONFIPET,Confidence Petroleum India Limited,172963
760,DIAMONDYD,Prataap Snacks Limited,172743
761,NUCLEUS,Nucleus Software Exports Limited,171162
762,GREENPLY,Greenply Industries Limited,170737
763,JPASSOCIAT,Jaiprakash Associates Limited,170594
764,WENDT,Wendt (India) Limited,170174
765,FINOPB,Fino Payments Bank Limited,169965
766,FMGOETZE,Federal-Mogul Goetze (India) Limited.,169956
767,SANGHIIND,Sanghi Industries Limited,169849
768,VAKRANGEE,Vakrangee Limited,169520
769,GNA,GNA Axles Limited,169094
770,AMRUTANJAN,Amrutanjan Health Care Limited,168368
771,EMUDHRA,eMudhra Limited,167738
772,DATAMATICS,Datamatics Global Services Limited,167534
773,SHARDAMOTR,Sharda Motor Industries Limited,166854
774,IOLCP,IOL Chemicals and Pharmaceuticals Limited,166049
775,LUMAXIND,Lumax Industries Limited,165385
776,BAJAJHIND,Bajaj Hindusthan Sugar Limited,164779
777,STYLAMIND,Stylam Industries Limited,164608
778,ANDHRAPAP,ANDHRA PAPER LIMITED,164588
779,SOTL,Savita Oil Technologies Limited,163803
780,ADFFOODS,ADF Foods Limited,163433
781,VIDHIING,Vidhi Specialty Food Ingredients Limited,162821
782,KABRAEXTRU,Kabra Extrusion Technik Limited,162665
783,BEPL,Bhansali Engineering Polymers Limited,162588
784,RUPA,Rupa & Company Limited,162429
785,NACLIND,NACL Industries Limited,162117
786,VSSL,Vardhman Special Steels Limited,161372
787,VISHNU,Vishnu Chemicals Limited,161331
788,DWARKESH,Dwarikesh Sugar Industries Limited,160715
789,DHANI,Dhani Services Limited,160158
790,BANCOINDIA,Banco Products (I) Limited,160094
791,KINGFA,Kingfa Science & Technology (India) Limited,159622
792,SUBEXLTD,Subex Limited,159609
793,HINDOILEXP,Hindustan Oil Exploration Company Limited,159018
794,RTNPOWER,RattanIndia Power Limited,158418
795,VADILALIND,Vadilal Industries Limited,157856
796,BBOX,Black Box Limited,156739
797,ORCHPHARMA,Orchid Pharma Limited,156429
798,PURVA,Puravankara Limited,154977
799,COSMOFIRST,COSMO FIRST LIMITED,154165
800,IMFA,Indian Metals & Ferro Alloys Limited,153742
801,SUPRIYA,Supriya Lifescience Limited,153521
802,SAKSOFT,Saksoft Limited,152986
803,IIFLSEC,IIFL Securities Limited,152843
804,SANGHVIMOV,Sanghvi Movers Limited,152439
805,GOKULAGRO,Gokul Agro Resources Limited,151675
806,ALEMBICLTD,Alembic Limited,151630
807,VENUSPIPES,Venus Pipes & Tubes Limited,151409
808,SEAMECLTD,Seamec Limited,151291
809,TNPL,Tamil Nadu Newsprint & Papers Limited,151087
810,KPIGREEN,KPI Green Energy Limited,150896
811,BFINVEST,BF Investment Limited,150237
812,SESHAPAPER,Seshasayee Paper and Boards Limited,148652
813,DHAMPURSUG,Dhampur Sugar Mills Limited,148409
814,ANDHRSUGAR,The Andhra Sugars Limited,147056
815,KIRIINDUS,Kiri Industries Limited,146717
816,TTKHLTCARE,TTK Healthcare Limited,146673
817,CARYSIL,CARYSIL LIMITED,146041
818,GOCLCORP,GOCL Corporation Limited,146041
819,STERTOOLS,Sterling Tools Limited,145015
820,SHALBY,Shalby Limited,144949
821,TIDEWATER,Tide Water Oil Company (India) Limited,144602
822,KRSNAA,Krsnaa Diagnostics Limited,144492
823,KRISHANA,Krishana Phoschem Limited,144119
824,HUHTAMAKI,Huhtamaki India Limited,143114
825,BBL,Bharat Bijlee Limited,143106
826,SEPC,SEPC Limited,142625
827,ORISSAMINE,The Orissa Minerals Development Company Limited,142155
828,FILATEX,Filatex India Limited,141985
829,THEJO,Thejo Engineering Limited,141954
830,APTECHT,Aptech Limited,141273
831,ORIENTHOT,Oriental Hotels Limited,140736
832,DCXINDIA,DCX Systems Limited,140685
833,FOSECOIND,Foseco India Limited,140445
834,GOLDIAM,Goldiam International Limited,140032
835,SHANKARA,Shankara Building Products Limited,139975
836,INSECTICID,Insecticides (India) Limited,138207
837,THANGAMAYL,Thangamayil Jewellery Limited,137896
838,SHK,S H Kelkar and Company Limited,137729
839,TEXRAIL,Texmaco Rail & Engineering Limited,136634
840,CANTABIL,Cantabil Retail India Limited,135674
841,GALLANTT,Gallantt Ispat Limited,134273
842,HERITGFOOD,Heritage Foods Limited,133765
843,KCP,KCP Limited,133433
844,MOREPENLAB,Morepen Laboratories Limited,131882
845,GATI,GATI Limited,130781
846,RAMASTEEL,Rama Steel Tubes Limited,129732
847,HESTERBIO,Hester Biosciences Limited,129543
848,NRBBEARING,NRB Bearing Limited,129489
849,INDOSTAR,IndoStar Capital Finance Limited,129033
850,MONTECARLO,Monte Carlo Fashions Limited,128902
851,KSL,Kalyani Steels Limited,128689
852,KDDL,KDDL Limited,128568
853,TCPLPACK,TCPL Packaging Limited,128201
854,MARATHON,Marathon Nextgen Realty Limited,128017
855,ARVSMART,Arvind SmartSpaces Limited,128006
856,DCW,DCW Limited,127950
857,DEN,Den Networks Limited,127896
858,STEELXIND,STEEL EXCHANGE INDIA LIMITED,127415
859,EIHAHOTELS,EIH Associated Hotels Limited,127144
860,IGPL,IG Petrochemicals Limited,127075
861,NITINSPIN,Nitin Spinners Limited,126636
862,EXPLEOSOL,Expleo Solutions Limited,125988
863,VERANDA,Veranda Learning Solutions Limited,125853
864,SALASAR,Salasar Techno Engineering Limited,125809
865,STYRENIX,Styrenix Performance Materials Limited,125790
866,ADORWELD,Ador Welding Limited,125187
867,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,124658
868,PCJEWELLER,PC Jeweller Limited,124496
869,GENESYS,Genesys International Corporation Limited,124046
870,STOVEKRAFT,Stove Kraft Limited,123844
871,RANEHOLDIN,Rane Holdings Limited,123639
872,NDTV,New Delhi Television Limited,123591
873,XPROINDIA,Xpro India Limited,122624
874,MANORAMA,Manorama Industries Limited,122440
875,GRWRHITECH,Garware Hi-Tech Films Limited,122260
876,HARIOMPIPE,Hariom Pipe Industries Limited,121942
877,SANDHAR,Sandhar Technologies Limited,121495
878,AVTNPL,AVT Natural Products Limited,120913
879,IWEL,Inox Wind Energy Limited,120742
880,SJS,S.J.S. Enterprises Limited,120549
881,EVERESTIND,Everest Industries Limited,118938
882,FAIRCHEMOR,Fairchem Organics Limited,118900
883,SASKEN,Sasken Technologies Limited,118390
884,OAL,Oriental Aromatics Limited,118242
885,NELCO,NELCO Limited,118074
886,RIIL,Reliance Industrial Infrastructure Limited,118059
887,SOLARA,Solara Active Pharma Sciences Limited,117870
888,TAJGVK,Taj GVK Hotels & Resorts Limited,117722
889,BOMDYEING,Bombay Dyeing & Mfg Company Limited,117209
890,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,116026
891,GOODLUCK,Goodluck India Limited,115907
892,RPGLIFE,RPG Life Sciences Limited,115848
893,PATELENG,Patel Engineering Limited,115656
894,SPIC,Southern Petrochemicals Industries Corporation  Limited,114955
895,INOXGREEN,Inox Green Energy Services Limited,114878
896,GIPCL,Gujarat Industries Power Company Limited,114800
897,UNIVCABLES,Universal Cables Limited,114716
898,NSIL,Nalwa Sons Investments Limited,114506
899,HMT,HMT Limited,113765
900,MATRIMONY,Matrimony.Com Limited,113725
901,MTNL,Mahanagar Telephone Nigam Limited,113715
902,SDBL,Som Distilleries & Breweries Limited,113524
903,VALIANTORG,Valiant Organics Limited,113189
904,ARMANFIN,Arman Financial Services Limited,112901
905,REPCOHOME,Repco Home Finance Limited,112454
906,HERANBA,Heranba Industries Limited,111998
907,BFUTILITIE,BF Utilities Limited,111929
908,PRECWIRE,Precision Wires India Limited,111098
909,AXITA,Axita Cotton Limited,110958
910,GRMOVER,GRM Overseas Limited,110070
911,GTPL,GTPL Hathway Limited,109820
912,IGARASHI,Igarashi Motors India Limited,109565
913,INFOBEAN,InfoBeans Technologies Limited,109116
914,ALICON,Alicon Castalloy Limited,109045
915,THEMISMED,Themis Medicare Limited,108579
916,TVTODAY,TV Today Network Limited,108000
917,WHEELS,Wheels India Limited,107966
918,RPSGVENT,RPSG VENTURES LIMITED,107687
919,RAMCOIND,Ramco Industries Limited,107687
920,SMLISUZU,SML Isuzu Limited,107452
921,AHL,Abans Holdings Limited,107037
922,UNIENTER,Uniphos Enterprises Limited,106197
